experiment,model,reference_concept,concept,direction,comparable,reason,achieved_gap,reference_requested_delta,reference_achieved_delta,reference_baseline,reference_transformed,reference_impact,concept_requested_delta,concept_achieved_delta,concept_baseline,concept_transformed,concept_impact,comparison_outcome,reference_larger,seed
RQ1b,A-pure-bridge (mean),Bridge Width,Churn,increase,True,matched,0.015716793353797904,0.75,0.75,8.0,14.0,8.0,0.1,0.7382124049846516,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-pure-bridge (mean),Bridge Width,Churn,decrease,True,matched,0.02964030729227466,-0.9,-0.875,8.0,1.0,-8.0,-0.9,-0.9017274795889034,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-persistence (last),Bridge Width,Centralization,increase,True,matched,0.016393442622951355,0.75,0.75,8.0,14.0,8.0,0.03,0.7377049180327865,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-persistence (last),Bridge Width,Centralization,decrease,True,matched,0.016393442622950838,-0.5,-0.5,8.0,4.0,-8.0,-0.05,-0.4918032786885246,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-persistence (last),Bridge Width,Density,increase,True,matched,0.0,0.5,0.5,8.0,12.0,8.0,0.5,0.5,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-persistence (last),Bridge Width,Density,decrease,True,matched,0.0,-0.5,-0.5,8.0,4.0,-8.0,-0.5,-0.5,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-persistence (last),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,A-persistence (last),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,A-persistence (last),Bridge Width,Churn,increase,True,matched,0.015716793353797904,0.75,0.75,8.0,14.0,8.0,0.1,0.7382124049846516,8.0,8.0,0.0,reference_larger,True,2
RQ1b,A-persistence (last),Bridge Width,Churn,decrease,True,matched,0.02964030729227466,-0.9,-0.875,8.0,1.0,-8.0,-0.9,-0.9017274795889034,8.0,8.0,0.0,reference_larger,True,2
RQ1b,B-pure-centralization,Centralization,Bridge Width,increase,True,matched,0.016393442622951355,0.03,0.7377049180327865,0.15024630541871925,0.26108374384236455,0.15024630541871925,0.75,0.75,0.15024630541871925,0.1440886699507389,-0.008210180623973792,reference_larger,True,2
RQ1b,B-pure-centralization,Centralization,Bridge Width,decrease,True,matched,0.016393442622950838,-0.05,-0.4918032786885246,0.15024630541871925,0.07635467980295568,-0.15024630541871925,-0.5,-0.5,0.15024630541871925,0.1440886699507389,-0.012315270935960687,reference_larger,True,2
RQ1b,B-pure-centralization,Centralization,Density,increase,True,matched,0.009367681498829532,0.03,0.7377049180327865,0.15024630541871925,0.26108374384236455,0.15024630541871925,0.75,0.7446808510638298,0.15024630541871925,0.10098522167487683,-0.06615059817030268,reference_larger,True,2
RQ1b,B-pure-centralization,Centralization,Density,decrease,True,matched,0.01361702127659664,-0.01,-0.20491803278688542,0.15024630541871925,0.11945812807881774,-0.15024630541871925,-0.2,-0.20212765957446807,0.15024630541871925,0.12315270935960593,-0.1340420015556133,reference_larger,True,2
RQ1b,B-pure-centralization,Centralization,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,B-pure-centralization,Centralization,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,B-pure-centralization,Centralization,Churn,increase,True,matched,0.0006874538390825869,0.03,0.7377049180327865,0.15024630541871925,0.26108374384236455,0.15024630541871925,0.1,0.7382124049846516,0.15024630541871925,0.15640394088669954,0.00834127877884728,reference_larger,True,2
RQ1b,B-pure-centralization,Centralization,Churn,decrease,True,matched,0.01665916769519559,-0.05,-0.4918032786885246,0.15024630541871925,0.07635467980295568,-0.15024630541871925,-0.5,-0.48361024539580544,0.15024630541871925,0.13177339901477833,-0.038197921941918275,reference_larger,True,2
RQ1b,C-weighted (2bw+3c),Bridge Width,Centralization,increase,True,matched,0.016393442622951355,0.75,0.75,16.450738916256157,28.432266009852217,15.97536945812808,0.03,0.7377049180327865,16.450738916256157,16.783251231527093,0.45073891625615786,reference_larger,True,2
RQ1b,C-weighted (2bw+3c),Bridge Width,Centralization,decrease,True,matched,0.016393442622950838,-0.5,-0.5,16.450738916256157,8.432266009852217,-16.03694581280788,-0.05,-0.4918032786885246,16.450738916256157,16.22906403940887,-0.4507389162561528,reference_larger,True,2
RQ1b,C-weighted (2bw+3c),Bridge Width,Density,increase,True,matched,0.0,0.5,0.5,16.450738916256157,24.48768472906404,16.073891625615765,0.5,0.5,16.450738916256157,16.362068965517242,-0.1773399014778292,reference_larger,True,2
RQ1b,C-weighted (2bw+3c),Bridge Width,Density,decrease,True,matched,0.0,-0.5,-0.5,16.450738916256157,8.432266009852217,-16.03694581280788,-0.5,-0.5,16.450738916256157,16.373152709359605,-0.1551724137931032,reference_larger,True,2
RQ1b,C-weighted (2bw+3c),Bridge Width,Bridge Trend,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,C-weighted (2bw+3c),Bridge Width,Bridge Trend,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,C-weighted (2bw+3c),Bridge Width,Churn,increase,True,matched,0.015716793353797904,0.75,0.75,16.450738916256157,28.432266009852217,15.97536945812808,0.1,0.7382124049846516,16.450738916256157,16.4692118226601,0.02502383633654481,reference_larger,True,2
RQ1b,C-weighted (2bw+3c),Bridge Width,Churn,decrease,True,matched,0.02964030729227466,-0.9,-0.875,16.450738916256157,2.395320197044335,-16.063335679099225,-0.9,-0.9017274795889034,16.450738916256157,16.339901477832512,-0.12291678021631856,reference_larger,True,2
RQ1b,D-slope-of-bridge,Bridge Trend,Bridge Width,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,D-slope-of-bridge,Bridge Trend,Bridge Width,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,D-slope-of-bridge,Bridge Trend,Centralization,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,D-slope-of-bridge,Bridge Trend,Centralization,decrease,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
RQ1b,D-slope-of-bridge,Bridge Trend,Density,increase,False,different achieved-change units (not comparable under the current transformation semantics),,,,,,,,,,,,,,2
