dataset,snapshot_count,model,transformation,direction,requested_delta,achieved_delta,delta_mode,baseline_prediction,after_prediction,prediction_change,impact,normalizer,noop,seed
bitcoin_alpha,20,persistence_centralization,Bridge Width,decrease,-0.5,-0.4958263772954925,relative,0.008403361344537815,0.008403361344537815,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_centralization,Centralization,increase,0.5,1.9502786112301758,relative,0.008403361344537815,0.008403361344537815,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_centralization,Centralization,decrease,-0.5,-0.7458208315473639,relative,0.008403361344537815,0.008403361344537815,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_centralization,Density,increase,0.5,0.4989806320081551,relative,0.008403361344537815,0.008260931491240565,-0.00014242985329725004,-0.0002854416467509749,achieved,False,42
bitcoin_alpha,20,persistence_centralization,Density,decrease,-0.5,-0.4954128440366972,relative,0.008403361344537815,0.008403361344537815,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_centralization,Bridge Trend,increase,0.5,0.9909774436090231,absolute,0.008403361344537815,0.008403361344537815,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_centralization,Bridge Trend,decrease,-0.5,-253.37443609022563,absolute,0.008403361344537815,0.008403361344537815,0.0,0.0,achieved,False,42
bitcoin_alpha,20,persistence_centralization,Churn,increase,0.5,0.0,relative,0.008403361344537815,0.008403361344537815,0.0,0.0,requested,True,42
bitcoin_alpha,20,persistence_centralization,Churn,decrease,-0.5,0.0,relative,0.008403361344537815,0.008403361344537815,0.0,0.0,requested,True,42
bitcoin_alpha,20,trend_clustering,Bridge Width,increase,0.1,0.09682804674457436,relative,0.03151718182293016,0.028968093503159646,-0.0025490883197705136,-0.026325929371423043,achieved,False,42
bitcoin_alpha,20,trend_clustering,Bridge Width,decrease,-0.1,-0.09682804674457425,relative,0.03151718182293016,0.028408824519509587,-0.0031083573034205725,-0.032101828012912476,achieved,False,42
bitcoin_alpha,20,trend_clustering,Centralization,increase,0.1,0.8401200171453066,relative,0.03151718182293016,0.03859302547191068,0.00707584364898052,0.00842242001687324,achieved,False,42
bitcoin_alpha,20,trend_clustering,Centralization,decrease,-0.1,-0.37291041577368195,relative,0.03151718182293016,0.019147139410297283,-0.012370042412632877,-0.03317161948123276,achieved,False,42
bitcoin_alpha,20,trend_clustering,Density,increase,0.1,0.09989806320081561,relative,0.03151718182293016,0.029382445528902595,-0.0021347362940275644,-0.021369145963684062,achieved,False,42
bitcoin_alpha,20,trend_clustering,Density,decrease,-0.1,-0.09887869520897033,relative,0.03151718182293016,0.022143107990386775,-0.009374073832543385,-0.09480377762603166,achieved,False,42
bitcoin_alpha,20,trend_clustering,Bridge Trend,increase,0.1,0.952631578947369,absolute,0.03151718182293016,0.02755704196580809,-0.003960139857122069,-0.004157052888691672,achieved,False,42
bitcoin_alpha,20,trend_clustering,Bridge Trend,decrease,-0.1,-9.4203007518797,absolute,0.03151718182293016,0.034988478612317624,0.003471296789387464,0.0003684910790873435,achieved,False,42
bitcoin_alpha,20,trend_clustering,Churn,increase,0.1,0.0,relative,0.03151718182293016,0.03151718182293016,0.0,0.0,requested,True,42
bitcoin_alpha,20,trend_clustering,Churn,decrease,-0.1,0.0,relative,0.03151718182293016,0.03151718182293016,0.0,0.0,requested,True,42
bitcoin_alpha,20,trend_clustering,Bridge Width,increase,0.25,0.24874791318864772,relative,0.03151718182293016,0.02501486461522076,-0.006502317207709399,-0.026140187969247854,achieved,False,42
bitcoin_alpha,20,trend_clustering,Bridge Width,decrease,-0.25,-0.24874791318864772,relative,0.03151718182293016,0.026092166543281378,-0.005425015279648782,-0.021809289614158525,achieved,False,42
bitcoin_alpha,20,trend_clustering,Centralization,increase,0.25,1.8559794256322335,relative,0.03151718182293016,0.07199669847950177,0.04047951665657161,0.021810326180088116,achieved,False,42
bitcoin_alpha,20,trend_clustering,Centralization,decrease,-0.25,-0.5872267466780969,relative,0.03151718182293016,0.005163081314397078,-0.026354100508533082,-0.04487891714336326,achieved,False,42
bitcoin_alpha,20,trend_clustering,Density,increase,0.25,0.24974515800203875,relative,0.03151718182293016,0.026245051420252935,-0.005272130402677225,-0.02111004051031166,achieved,False,42
bitcoin_alpha,20,trend_clustering,Density,decrease,-0.25,-0.24974515800203875,relative,0.03151718182293016,0.012087085457828481,-0.01943009636510168,-0.07779969197618264,achieved,False,42
bitcoin_alpha,20,trend_clustering,Bridge Trend,increase,0.25,1.0142857142857147,absolute,0.03151718182293016,0.027465218418778768,-0.004051963404151392,-0.0039948934970506665,achieved,False,42
